basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
,Removable Li-Ion 1200 mAh battery (BL-4D),,VGA,290MB 256MB RAM 1GB ROM,"Symbian^3, upgradable to Nokia Belle OS",,8 MP,"2011, June. Released 2011, Q3","3.5 inches, 33.8 cm, (~50.4% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)","AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia T7
,Removable Li-Ion 1200 mAh battery (BL-4D),,VGA,8GB 256MB RAM,Symbian Anna OS,,8 MP,"2011, June. Released 2011, Q3","2.46 inches, 18.7 cm, (~26.5% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~325 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia 702T
,Removable Li-Ion 1020 mAh battery (BL-5C),,No,10MB,,,2 MP,"2011, June. Released 2011, August","2.6 inches, 20.9 cm, (~39.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)","TFT resistive touchscreen, 65K colors",,Nokia C2-02
,Removable Li-Ion 1020 mAh battery (BL-5C),,No,10MB,,,2 MP,"2011, June. Released 2011, September","2.6 inches, 20.9 cm, (~39.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)","TFT resistive touchscreen, 65K colors",,Nokia C2-03
,Removable Li-Ion 1020 mAh battery (BL-5C),,No,10MB,,,2 MP,"2011, June. Released 2011, November","2.6 inches, 20.9 cm, (~39.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)","TFT resistive touchscreen, 65K colors",,Nokia C2-06
,Removable Li-Ion 1050 mAh battery (BL-5CT),,VGA videocall camera,270MB 256MB RAM 512MB ROM,"Symbian 9.3, Series 60 rel. 3.2",,5 MP,"2011, June. Released 2011, September","2.2 inches, 15.0 cm, (~29.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia C5 5MP
,Non-removable Li-Ion 1450 mAh battery (BV-5JW),,VGA,"16GB 1GB RAM, 64GB 1GB RAM",MeeGo 1.2 Harmattan,,"8 MP, AF","2011, June. Released 2011, September","3.9 inches, 41.9 cm, (~58.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~251 ppi density)","AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia N9
,Removable Li-Ion 1110 mAh battery (BL-4U),,No,2GB 256MB RAM,"Symbian Anna, upgradable to Nokia Belle OS",,5 MP,"2011, August. Released 2011, September","3.2 inches, 28.2 cm, (~47.1% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia 500
,Removable Li-Ion 1050 mAh battery (BL-5CT),,No,140MB 64MB RAM 128MB ROM,,,5 MP,"2011, August. Released 2011, August","2.4 inches, 17.8 cm, (~33.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT resistive touchscreen, 256K colors",,Nokia C3-01 Gold Edition
,Removable Li-Ion 1200 mAh battery (BL-4J),,No,2GB,Symbian Belle OS,,5 MP,"2011, August","3.2 inches, 28.2 cm, (~48.0% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia 600
,Removable Li-Ion 1080 mAh battery (BP-5Z),,No,2GB 512MB RAM,"Symbian Belle, upgradable to Belle FP1",,5 MP,"2011, August. Released 2011, September","3.2 inches, 28.2 cm, (~50.6% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia 700
,Removable Li-Ion 1300 mAh battery (BL-5K),,VGA,8GB 512MB RAM,"Symbian Belle, upgradable to Belle FP1",,8 MP,"2011, August. Released 2011, September","3.5 inches, 33.8 cm, (~50.7% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia 701
,Removable Li-Ion 850 mAh battery (BL-5CB),,,,,,No,"2011, August. Released 2011, November","1.8 inches, 10.2 cm, (~20.4% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 65K colors",,Nokia 100
,Removable Li-Ion 1020 mAh battery (BL-5C) - India market,,,,,,No,"2011, August. Released 2011, October","1.8 inches, 10.2 cm, (~20.4% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 65K colors",,Nokia 101
,Removable Li-Ion 1000 mAh battery (Bl-4U),,No,60MB 128MB RAM 256MB ROM,"Symbian 9.4, Series 60 rel. 5",,2 MP,"2011, October. Released 2011, December","3.2 inches, 28.2 cm, (~52.5% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT resistive touchscreen, 16M colors",Accelerometer,Nokia C5-04
,Removable Li-Ion 1000 mAh battery (Bl-4U),,No,40MB 128MB RAM 256MB ROM,"Symbian 9.4, Series 60 rel. 5",,2 MP,"2011, October. Released 2011, December","3.2 inches, 28.2 cm, (~52.3% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT resistive touchscreen, 16M colors",Accelerometer,Nokia C5-05
,Removable Li-Ion 1000 mAh battery (Bl-4U),,No,40MB 128MB RAM 256MB ROM,"Symbian 9.4, Series 60 rel. 5",,2 MP,"2011, October. Released 2012, March","3.2 inches, 28.2 cm, (~52.3% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT resistive touchscreen, 16M colors",Accelerometer,Nokia C5-06
,Removable Li-Ion 800 mAh battery (BL-5CB),,No,64MB,,,VGA,"2011, October. Released 2011, December","2.2 inches, 15.0 cm, (~26.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 65K colors",,Nokia X2-05
,Removable Li-Ion 860 mAh battery (BL-4C),,No,64MB,,,VGA,"2011, October. Released 2011, December","2.0 inches, 12.4 cm, (~26.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 65K colors",,Nokia C2-05
,Removable Li-Ion battery (BP-3L),,No,"2GB (340MB user available), 512MB RAM, 1GB ROM","Symbian Belle, upgradable to Belle FP1",,5 MP,"2011, October. Released 2011, October","3.5 inches, 33.8 cm, (~52.1% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia 603
,Removable Li-Ion 1430 mAh battery (BL-5J),,No,10MB 64MB ROM 32MB RAM,,,2 MP,"2011, October. Released 2011, December","2.4 inches, 17.8 cm, (~25.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)","TFT, 256K colors",,Nokia Asha 200
,Removable Li-Ion 1430 mAh battery (BL-5J),,No,10MB 64MB ROM 32MB RAM,,,2 MP,"2011, October. Released 2012, February","2.4 inches, 17.8 cm, (~25.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)","TFT, 256K colors",,Nokia Asha 201
,Removable Li-Ion 1110 mAh battery (BL-4U),,No,140MB 256MB ROM 128MB RAM,,,5 MP,"2011, October. Released 2011, November","2.4 inches, 17.8 cm, (~31.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT resistive touchscreen, 256K colors",Proximity,Nokia Asha 300
,Removable Li-Ion 1300 mAh battery (BP-3L),,No,"170MB (100MB user available), 256MB ROM, 128MB RAM",,,3.2 MP,"2011, October. Released 2011, December","2.6 inches, 20.9 cm, (~32.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~154 ppi density)","TFT capacitive touchscreen, 256K colors",,Nokia Asha 303
,Removable Li-Ion 1300 mAh battery (BP-3L),,No,8GB 512MB RAM,Microsoft Windows Phone 7.5 Mango,,"5 MP, AF","2011, October. Released 2011, December","3.7 inches, 39.0 cm, (~52.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia Lumia 710
,Removable Li-Ion 1300 mAh battery (BP-3L),,No,8GB 512MB RAM,Microsoft Windows Phone 7.5 Mango,,"5 MP, AF","2011, December. Released 2012, January","3.7 inches, 39.0 cm, (~52.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia Lumia 710 T-Mobile
,Non-removable Li-Ion 1450 mAh battery (BV-5JW),,No,16GB 512MB RAM,"Microsoft Windows Phone 7.5 Mango, upgradable to 7.8",,"8 MP, AF","2011, October. Released 2011, November","3.7 inches, 39.0 cm, (~54.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)","AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia Lumia 800
,Removable Li-Ion 1020 mAh battery (BL-5C),,No,10MB 64MB ROM 32MB RAM,,,2 MP,"2011, December. Released 2012, January","2.2 inches, 15.0 cm, (~26.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",TFT,,Nokia X2-02
,Removable Li-Ion 1300 mAh battery (BP-3L),,VGA,8GB 256MB RAM,Symbian Anna OS,,8 MP,"2011, December. Released 2012, September","4.0 inches, 44.1 cm, (~54.2% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~184 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia 801T
,Removable Li-Ion 860 mAh battery (BL-4C),,No,,,,VGA,"2009, November. Released 2010, March","1.8 inches, 10.2 cm, (~20.8% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 256K colors",,Nokia 2690
,Removable Li-Ion 1000 mAh battery (BL-4U),,No,70MB,,,3.15 MP,"2009, November. Released 2010, May","2.4 inches, 17.8 cm, (~36.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors",,Nokia 5330 Mobile TV Edition
,Removable Li-Ion 860 mAh battery (BL-4CT),,No,45MB,,,3.15 MP,"2009, November. Released 2010, February","2.4 inches, 17.8 cm, (~37.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 256K colors",,Nokia 7230
,Removable Li-Ion 860 mAh battery,,VGA,45MB 128MB RAM,"Symbian 9.3, S60 rel. 3.2",,"5 MP, AF","2009, November. Released 2010, April","2.2 inches, 15.0 cm, (~34.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia 6700 slide
,Removable Li-Ion 1020 mAh battery (BL-5C),,No,"64MB RAM, 128MB ROM",,,2 MP,"2009, December. Released 2010, May","2.2 inches, 15.0 cm, (~29.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 256K colors","Accelerometer, compass",Nokia 2710 Navigation Edition
,Removable Li-Ion 1320 mAh battery (BL-5J),,,32GB 128MB RAM,"Symbian 9.4, Series 60 rel. 5",,"5 MP, AF","2009, September. Released 2009, December","3.2 inches, 28.2 cm, (~49.9% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity",Nokia X6 (2009)
,Removable Li-Ion 1320 mAh battery (BL-5J),,,16GB 128MB RAM,"Symbian 9.4, Series 60 rel. 5",,"5 MP, AF","2010, January. Released 2010, February","3.2 inches, 28.2 cm, (~49.9% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity",Nokia X6 16GB (2010)
,Removable Li-Ion 1200 mAh battery (BL-5C),,No,30MB,,,2 MP,"2010, February. Released 2010, April","2.0 inches, 12.4 cm, (~24.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","TFT, 256K colors",,Nokia 5132 XpressMusic
,Removable Li-Ion 1050 mAh battery (BL-5CT),,No,55MB,,,3.15 MP,"2010, February. Released 2010, March","2.2 inches, 15.0 cm, (~29.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia 6303i classic
,Removable Li-Ion 950 mAh battery (BL-5F),,VGA videocall camera,256MB,"Symbian 9.3, Series 60 rel. 3.2",,"5 MP, AF","2010, April. Released 2010, July","2.4 inches, 17.8 cm, (~31.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors",Accelerometer,Nokia X5 TD-SCDMA
,Removable Li-Ion 950 mAh battery (BL-5F),,VGA videocall camera,256MB,"Symbian 9.3, Series 60 rel. 3.2",,"5 MP, AF","2010, April. Released 2010, Q3","2.4 inches, 17.8 cm, (~33.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors",,Nokia C5 TD-SCDMA
,Removable Li-Ion 1050 mAh battery (BL-5CT),,VGA videocall camera,50MB 128MB RAM,"Symbian 9.3, Series 60 rel. 3.2",,3.15 MP,"2010, March. Released 2010, April","2.2 inches, 15.0 cm, (~29.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 16M colors",,Nokia C5
,Removable Li-Ion 1320 mAh battery (BL-5J),,No,55MB 64MB RAM 128MB ROM,,,2 MP,"2010, April. Released 2010, June","2.4 inches, 17.8 cm, (~26.6% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)","TFT, 256K colors",,Nokia C3
,Removable Li-Ion 1200 mAh battery (BL-4D),,No,250MB; 256MB RAM,"Symbian 9.3, Series 60 rel. 3.2",,5 MP,"2010, April. Released 2010, August","2.36 inches, 17.2 cm, (~25.5% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~169 ppi density)","TFT, 256K colors",,Nokia E5
,Removable Li-Ion 1200 mAh battery (BL-4J),,QVGA,240MB,"Symbian 9.4, Series 60 rel. 5",,"5 MP, AF","2010, April. Released 2010, July","3.2 inches, 28.2 cm, (~47.1% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT resistive touchscreen, 16M colors","Accelerometer, proximity",Nokia C6
,Removable Li-Ion 860 mAh battery (BL-4C),,No,48MB 128MB ROM 64MB RAM,,,5 MP,"2010, April. Released 2010, July","2.2 inches, 15.0 cm, (~28.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","TFT, 256K colors",,Nokia X2-00
,Non-removable Li-Ion 1200 mAh battery (BL-4D),,VGA videocall camera,16GB 256MB RAM,"Symbian^3, upgradable to Nokia Belle Refresh",,"12 MP, 1/1.83"", AF","2010, April. Released 2010, October","3.5 inches, 33.8 cm, (~50.3% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)","AMOLED capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Nokia N8
,Removable Li-Ion 1020 mAh battery (BL-5C),,,,,,No,"2010, June. Released 2010, September","1.8 inches, 10.2 cm, (~21.2% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 65K colors",,Nokia C1-00
,Removable Li-Ion 800 mAh battery (BL-5CB),,No,10MB 16MB RAM 64MB ROM,,,600 x 480,"2010, June. Released 2010, December","1.8 inches, 10.2 cm, (~21.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 65K colors",,Nokia C1-01
,Removable Li-Ion 1020 mAh battery (BL-5C) / 800 mAh battery (BL-5CB),,,10MB 64MB ROM 16MB RAM,,,No,"2010, June. Released 2011, January","1.8 inches, 10.2 cm, (~21.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 65K colors",,Nokia C1-02
,Removable Li-Ion 1020 mAh battery (BL-5C),,No,"64MB ROM, 16MB RAM",,,VGA,"2010, June. Released 2011, July","1.8 inches, 10.2 cm, (~21.0% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),"TFT, 65K colors",,Nokia C2-00
,Removable Li-Po 1500 mAh battery (BP-4L),,VGA videocall camera,250MB,"Symbian OS 9.3, Series 60 v3.2 UI",,"5 MP, AF","2010, June. Released 2010, June","2.4 inches, 17.8 cm, (~26.8% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)","TFT, 16M colors","Accelerometer, compass",Nokia E73 Mode
,Removable Li-Ion 1320 mAh battery (BL-5J),,No,70MB 128MB RAM,"Symbian 9.4, Series 60 rel. 5",,2 MP,"2010, January. Released 2010, January","3.2 inches, 28.2 cm, (~49.2% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)","TFT resistive touchscreen, 16M colors","Accelerometer, proximity",Nokia 5233
