,basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
10,,Non-removable Li-Ion battery,,,32GB,"watchOS 6.0, upgradable to 6.1",,No,"2019, September","1.78 inches, 10.0 cm, (~60.0% screen-to-body ratio)",448 x 368 pixels (~326 ppi density),"LTPO OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate (2nd gen), barometer, compass",Apple Watch Series 5 Aluminum
11,,Non-removable Li-Ion battery,,,32GB,"watchOS 6.0, upgradable to 6.1",,No,"2019, September","1.78 inches, 10.0 cm, (~60.0% screen-to-body ratio)",448 x 368 pixels (~326 ppi density),"LTPO OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate (2nd gen), barometer, compass",Apple Watch Series 5
12,,Non-removable Li-Ion battery,,,32GB,"watchOS 6.0, upgradable to 6.1",,No,"2019, September","1.78 inches, 10.0 cm, (~60.0% screen-to-body ratio)",448 x 368 pixels (~326 ppi density),"LTPO OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate (2nd gen), barometer, compass",Apple Watch Edition Series 5
13,,Non-removable Li-Po 8827 mAh battery (32.9 Wh),,"1.2 MP, f/2.2, 31mm (standard)","32GB 3GB RAM, 128GB 3GB RAM","iPadOS 13.1, upgradable to iPadOS 13.1.2",,"8 MP, f/2.4, 31mm (standard), 1.12µm, AF","2019, September","10.2 inches, 324.6 cm, (~74.4% screen-to-body ratio)","1620 x 2160 pixels, 4:3 ratio (~264 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer",Apple iPad 10.2
14,"$ 729.00 / £ 663.00 / € 769.00 / ₹ 64,900",Non-removable Li-Ion 3110 mAh battery (11.91 Wh),"64GB,128GB,256GB","12 MP, f/2.2, 23mm (wide),
SL 3D camera","64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM","iOS 13, upgradable to iOS 13.2","$ 729.00,$ 815.00,$ 827.08,£ 759.00,£ 779.00,€ 821.00,£ 879.00,£ 939.00,€ 919.00","12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS,
12 MP, f/2.4, 13mm (ultrawide)","2019, September","6.1 inches, 90.3 cm, (~79.0% screen-to-body ratio)","828 x 1792 pixels, 19.5:9 ratio (~326 ppi density)","Liquid Retina IPS LCD capacitive touchscreen, 16M colors","Face ID, accelerometer, gyro, proximity, compass, barometer",Apple iPhone 11
15,"$ 1,011.08 / £ 949.00 / € 1,139.00 / ₹ 99,900",Non-removable Li-Ion 3046 mAh battery (11.67 Wh),"64GB,256GB,512GB","12 MP, f/2.2, 23mm (wide),
SL 3D camera","64GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM","iOS 13, upgradable to iOS 13.2","$ 1,259.00,$ 1,011.08,£ 949.00,$ 1,135.00,£ 1,119.00,£ 1,149.00,£ 1,299.00,£ 1,349.00,€ 1,459.00","12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS,
12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom,
12 MP, f/2.4, 13mm (ultrawide)","2019, September","5.8 inches, 84.4 cm, (~82.1% screen-to-body ratio)","1125 x 2436 pixels, 19.5:9 ratio (~458 ppi density)","Super Retina XDR OLED capacitive touchscreen, 16M colors","Face ID, accelerometer, gyro, proximity, compass, barometer",Apple iPhone 11 Pro
16,"$ 132.84 / £ 127.00 / € 146.56 / ₹ 23,999",Non-removable Li-Ion 1715 mAh battery (6.91 Wh),"16GB,32GB,64GB","5 MP, f/2.2, 31mm (standard)","16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM, 128GB 2GB RAM","iOS 9, upgradable to iOS 13.2","$ 132.84,$ 198.88,$ 135.88,$ 144.80,$ 159.99,£ 136.23,$ 164.99,$ 135.88,£ 148.00","12 MP, f/2.2, 29mm (standard), 1/3"", 1.22µm, PDAF","2015, September","4.7 inches, 60.9 cm, (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",Apple iPhone 6s
17,"$ 162.00 / £ 173.70 / € 218.80 / ₹ 38,990",Non-removable Li-Ion 2750 mAh battery (10.45 Wh),"16GB,32GB,64GB","5 MP, f/2.2, 31mm (standard)","16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM, 128GB 2GB RAM","iOS 9, upgradable to iOS 13.2","$ 176.98,$ 251.99,$ 189.80,$ 186.00,$ 270.00,£ 199.41,$ 162.00,$ 291.29,£ 209.98","12 MP, f/2.2, 29mm (standard), 1/3"", 1.22µm, PDAF, OIS","2015, September","5.5 inches, 83.4 cm, (~67.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",Apple iPhone 6s Plus
18,$ 99.99 / £ 108.97 / € 119.90,Non-removable Li-Po 1624 mAh battery (6.21 Wh),"16GB,32GB,64GB","1.2 MP, f/2.4, 31mm (standard)","16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM, 128GB 2GB RAM","iOS 9.3.2, upgradable to iOS 13.2","$ 99.99,$ 132.99,$ 109.56,$ 109.99,$ 123.98,£ 119.98,$ 129.95,$ 203.50,£ 127.11","12 MP, f/2.2, 29mm (standard), 1/3"", 1.22µm, PDAF","2016, March","4.0 inches, 44.1 cm, (~60.8% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Apple iPhone SE
19,,Non-removable Li-Ion 7306 mAh battery (27.9 Wh),,"5 MP, f/2.2, 31mm (standard)","32GB 2GB RAM, 128GB 2GB RAM, 256GB 2GB RAM","iOS 9.3.2, upgradable to iPadOS 13.1.2",,"12 MP, f/2.2, 29mm (standard), 1/3"", 1.22µm, PDAF","2016, March","9.7 inches, 291.4 cm, (~71.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer",Apple iPad Pro 9.7 (2016)
